species,wlcent,gflog,excit,j_lo,e_upp,j_up,lande_lower,lande_upper,lande,gamrad,gamqst,gamvw,depth,reference,term_lower,term_upper,error,atom_number,ionization
Ti 1,4730.5431,-2.144,3.3232005181547577,2.0,5.943396998392173,3.0,0.66,0.84,1.03,8.14,-4.13,-7.29,0.013999999999999999,_          Kurucz TiI 2016   22 wl:K16  22 gf:K16  22 K16  22 K16  22 K16  22 K16  22 K16  22 K16  22 K16    Ti,3d2.(1D).4s.4p.(3P*) x3F*,3d2.4s.(4F).5d h5G,0.5,1.0,1.0
TiO 1,4730.5435,-1.1909999999999998,0.41239135264775695,26.0,3.033319265259727,25.0,99.0,99.0,99.0,7.315,0.0,0.0,0.002,_          1.32035            8 wl:PPN2012   8 gf:PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012   8 PPN2012    (49)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,25,3","8s2.11s1.3p4.1d1 C,3,2,0,24,6",0.5,1.0,1.0
TiO 1,4730.5571,-0.012,0.43627234567191003,29.0,3.0561979452346923,28.0,99.0,99.0,99.0,7.314,0.0,0.0,0.023,_          -0.475235          6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,29,3","8s2.11s1.3p4.1d1 C,3,2,0,28,6",0.5,1.0,1.0
TiO 1,4730.5583,-0.045,0.4411594059867506,27.0,3.0615161234009762,26.0,99.0,99.0,99.0,7.315,0.0,0.0,0.021,_          0.304482           6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,28,3","8s2.11s1.3p4.1d1 C,3,2,0,27,6",0.5,1.0,1.0
TiO 1,4730.5614,-0.373,0.9891586481953356,74.0,3.6093450113222367,74.0,99.0,99.0,99.0,7.454,0.0,0.0,0.001,_                             6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,-,75,5","8s2.3p4.4p1.1d1 B,3,1,+,75,9",0.5,1.0,1.0
TiO 1,4730.5905,-0.5379999999999999,0.9369669795366562,82.0,3.5571372495147258,82.0,99.0,99.0,99.0,7.388,0.0,0.0,0.001,_                             6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,+,82,4","8s2.3p4.4p1.1d1 B,3,1,-,82,8",0.5,1.0,1.0
V 1,4730.595,-5.164,0.27527207327862824,2.5,2.895439801208697,3.5,1.66,1.23,0.69,6.89,-6.15,-7.78,0.196,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,PBAG V",3d4.(5D).4s a6D,3d3.(4F).4s.4p.(3P*) z4F*,0.5,1.0,1.0
TiO 1,4730.597,-0.04,0.4170102227450498,27.0,3.0378844873947743,26.0,99.0,99.0,99.0,7.315,0.0,0.0,0.024,_          1.27719            6 wl:PPN2012   6 gf:PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012   6 PPN2012    (48)TiO,"8s2.9s1.3p4.1d1 X,3,2,0,26,3","8s2.11s1.3p4.1d1 C,3,2,0,25,6",0.5,1.0,1.0
V 1,4730.6035,-5.305,0.275262808435488,2.5,2.8954258358766625,3.5,1.66,1.23,0.69,6.89,-6.15,-7.78,0.196,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,PBAG V",3d4.(5D).4s a6D,3d3.(4F).4s.4p.(3P*) z4F*,0.5,1.0,1.0
V 1,4730.6111,-5.468999999999999,0.27525508347608046,2.5,2.8954138656983335,3.5,1.66,1.23,0.69,6.89,-6.15,-7.78,0.196,"_          Kurucz V I 2009   19 wl:K09  19 gf:K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09  19 K09   hfs:UBDE,PBAG V",3d4.(5D).4s a6D,3d3.(4F).4s.4p.(3P*) z4F*,0.5,1.0,1.0
